,name,full_name,birth_date,age,height_cm,weight_kgs,body_mass_index,positions,primary_position,nationality,overall_rating,potential,value_euro,wage_euro,preferred_foot,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),body_type,release_clause_euro,setpiece_stats,attacking_stats,skill_stats,movement_stats,power_stats,mentality_stats,defending_stats
0,L. Messi,Lionel Andrés Messi Cuccittini,06/24/87,31,170.18,72.1,24.9,"CF,RW,ST",CF,Argentina,94,94,110500000.0,565000.0,Left,5,4,4,Normal,226500000.0,85.75,85.8,93.8,92.0,77.0,71.5,29.0
1,C. Eriksen,Christian  Dannemann Eriksen,02/14/92,27,154.94,76.2,31.74,"CAM,RM,CM",CAM,Denmark,88,89,69500000.0,205000.0,Right,3,5,4,Lean,133800000.0,82.5,78.4,87.4,79.6,74.6,72.0,46.0
2,P. Pogba,Paul Pogba,03/15/93,25,190.5,83.9,23.12,"CM,CAM",CM,France,88,91,73000000.0,255000.0,Right,4,4,5,Normal,144200000.0,84.25,80.2,86.8,74.8,86.0,80.17,65.67
3,L. Insigne,Lorenzo Insigne,06/04/91,27,162.56,59.0,22.33,"LW,ST",LW,Italy,88,88,62000000.0,165000.0,Right,3,4,4,Normal,105400000.0,78.0,75.6,85.0,90.0,66.2,62.33,32.33
4,K. Koulibaly,Kalidou Koulibaly,06/20/91,27,187.96,88.9,25.16,CB,CB,Senegal,88,91,60000000.0,135000.0,Right,3,3,2,Normal,106500000.0,37.75,43.4,49.6,63.4,64.0,60.17,88.67
5,V. van Dijk,Virgil van Dijk,07/08/91,27,193.04,92.1,24.72,CB,CB,Netherlands,88,90,59500000.0,215000.0,Right,3,3,2,Normal,114500000.0,64.0,62.4,71.4,69.6,80.0,70.0,87.67
6,K. Mbappé,Kylian Mbappé,12/20/98,20,152.4,73.0,31.43,"RW,ST,RM",RW,France,88,95,81000000.0,100000.0,Right,3,4,5,Lean,166100000.0,74.25,80.4,78.8,90.8,77.2,71.0,33.33
7,S. Agüero,Sergio Leonel Agüero del Castillo,06/02/88,30,172.72,69.9,23.43,ST,ST,Argentina,89,89,64500000.0,300000.0,Right,4,4,4,Stocky,119300000.0,74.75,81.2,79.4,87.0,80.2,72.83,20.67
8,M. Neuer,Manuel Neuer,03/27/86,32,193.04,92.1,24.72,GK,GK,Germany,89,89,38000000.0,130000.0,Right,5,4,1,Normal,62700000.0,33.75,23.8,32.0,56.8,48.2,43.0,12.67
9,E. Cavani,Edinson Roberto Cavani Gómez,02/14/87,32,185.42,77.1,22.43,ST,ST,Uruguay,89,89,60000000.0,200000.0,Right,4,4,3,Lean,111000000.0,71.0,83.2,73.4,75.6,84.8,78.17,45.33
10,Sergio Busquets,Sergio Busquets i Burgos,07/16/88,30,187.96,76.2,21.57,"CDM,CM",CDM,Spain,89,89,51500000.0,315000.0,Right,4,3,3,Lean,105600000.0,67.5,66.0,76.8,61.4,68.8,81.5,85.33
